INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID
20136003078,2.0136E+16,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,3/27/2013 21:59,3/28/2013 6:34,4/1/2013 15:43,850 S LEYDEN ST,3164629,1680755,-104.9149156,39.7010178,3,317,washington-virginia-vale
20136003079,2.0136E+16,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,3/29/2013 14:39,3/29/2013 17:29,4/1/2013 15:46,3545 S TAMARAC DR,3169165,1662845,-104.8992163,39.6517695,3,326,hampden-south
20136003082,2.0136E+16,2399,1,theft-bicycle,larceny,4/1/2013 15:00,4/1/2013 15:59,4/1/2013 18:15,1275 N GRANT ST,3145154,1693580,-104.9838684,39.736549,6,615,capitol-hill
20136003084,2.0136E+16,2999,0,criminal-mischief-other,public-disorder,3/25/2013 3:49,3/25/2013 6:49,4/1/2013 18:55,22 N COLORADO BLVD,3157447,1686447,-104.9403148,39.7167677,3,315,hilltop
20136003088,2.0136E+16,2399,0,theft-other,larceny,3/29/2013 15:00,3/29/2013 18:59,4/1/2013 19:47,N ACOMA ST / W 7TH AVE,3143780,1690217,-104.9888212,39.7273382,6,617,lincoln-park
20136003091,2.0136E+16,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,3/30/2013 21:59,4/1/2013 8:00,4/1/2013 21:27,2685 N IOLA ST,3178469,1700962,-104.8652286,39.7562344,2,232,stapleton
2013114170,2.01311E+15,2399,0,theft-other,larceny,3/10/2013 15:59,3/10/2013 18:00,3/11/2013 16:57,200 N QUEBEC ST,3167991,1688018,-104.9027979,39.7208961,3,316,lowry-field
20136002967,2.0136E+16,2308,0,theft-from-bldg,larceny,3/28/2013 15:10,3/28/2013 17:10,3/29/2013 7:15,1825 S MARION ST,3148452,1674285,-104.9725401,39.6835282,3,323,university
2013139168,2.01314E+15,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,3/27/2013 21:30,3/28/2013 6:30,3/28/2013 7:12,4349 N DEEPHAVEN CT,3189909,1708208,-104.824349,39.7758991,5,523,montbello
20136003067,2.0136E+16,2399,0,theft-other,larceny,3/29/2013 21:59,3/29/2013 21:59,4/1/2013 12:24,7344 E SEVERN PL,3167929,1690835,-104.9029525,39.7286304,3,316,lowry-field
